Timestamp;trajectory_id;j1_v;j2_v;j3_v;j4_v;j5_v;j6_v;j1_a;j2_a;j3_a;j4_a;j5_a;j6_a;j1_t;j2_t;j3_t;j4_t;j5_t;j6_t
67,6408;1;0,06656;-0,03328;0,05126;0,00498;-0,01637;0,00249;1,58628;-0,01084;-2,51801;-0,00057;-0,61131;0,00008;15,18757;11,92581;41,85189;-8,50859;-2,15321;-0,81023
67,6484;1;0,06656;-0,03328;0,05126;0,00498;-0,01637;0,00249;1,58628;-0,01084;-2,51801;-0,00057;-0,61131;0,00008;15,18757;11,92581;41,85189;-8,50859;-2,15321;-0,81023
67,6565;1;0,06656;-0,03328;0,05126;0,00498;-0,01637;0,00249;1,5876;-0,01156;-2,5169;-0,00056;-0,61159;0,00008;16,10494;14,77985;40,98807;-8,33582;-2,56387;-1,33188
67,6644;1;0,07101;-0,03803;0,05695;0,00463;-0,01709;0,00463;1,5876;-0,01156;-2,5169;-0,00056;-0,61159;0,00008;16,10494;14,77985;40,98807;-8,33582;-2,56387;-1,33188
67,6714;1;0,07101;-0,03803;0,05695;0,00463;-0,01709;0,00463;1,5876;-0,01156;-2,5169;-0,00056;-0,61159;0,00008;19,46863;12,84318;39,47639;-9,02688;-3,20761;-0,86572
67,6795;1;0,0722;-0,03803;0,06087;0,00427;-0,01958;0,00427;1,58896;-0,01233;-2,51567;-0,00056;-0,61192;0,00008;19,46863;12,84318;39,47639;-9,02688;-3,20761;-0,86572
67,6874;1;0,0722;-0,03803;0,06087;0,00427;-0,01958;0,00427;1,58896;-0,01233;-2,51567;-0,00056;-0,61192;0,00008;19,46863;12,84318;39,47639;-9,02688;-3,20761;-0,86572
67,6944;1;0,0722;-0,03803;0,06087;0,00427;-0,01958;0,00427;1,59039;-0,01319;-2,51442;-0,00057;-0,61228;0,00007;19,46863;11,92581;40,51297;-9,3724;-2,68596;-0,45506
67,7025;1;0,07607;-0,041;0,06265;0,00498;-0,02278;0,00071;1,59039;-0,01319;-2,51442;-0,00057;-0,61228;0,00007;19,46863;11,92581;40,51297;-9,3724;-2,68596;-0,45506
67,7108;1;0,07607;-0,041;0,06265;0,00498;-0,02278;0,00071;1,59039;-0,01319;-2,51442;-0,00057;-0,61228;0,00007;19,46863;11,92581;40,51297;-9,3724;-2,68596;-0,45506
67,7264;1;0,08082;-0,041;0,06265;0,00463;-0,02563;0,00071;1,5919;-0,01405;-2,51307;-0,00057;-0,61272;0,00008;20,386;11,41616;42,02465;-7,34244;-1,98672;-1,0988
67,7344;1;0,08082;-0,041;0,06265;0,00463;-0,02563;0,00071;1,5935;-0,01494;-2,51165;-0,00058;-0,61317;0,00007;18,04161;9,98914;40,68573;-8,50859;-2,27529;-1,97562
67,7424;1;0,08468;-0,04279;0,06835;0,00534;-0,02278;0,00463;1,5935;-0,01494;-2,51165;-0,00058;-0,61317;0,00007;18,04161;9,98914;40,68573;-8,50859;-2,27529;-1,97562
67,7504;1;0,08468;-0,04279;0,06835;0,00534;-0,02278;0,00463;1,5935;-0,01494;-2,51165;-0,00058;-0,61317;0,00007;18,04161;9,98914;40,68573;-8,50859;-2,27529;-1,97562
67,7711;1;0,08973;-0,04754;0,07191;0,00249;-0,02278;0,0057;1,59517;-0,01591;-2,51021;-0,00057;-0,61363;0,00007;17,53196;13,35283;40,81531;-7,68796;-1,63155;-1,45397
67,7806;1;0,09062;-0,04754;0,07404;0,00463;-0,02421;0,00285;1,59692;-0,01691;-2,50871;-0,00058;-0,61408;0,00007;21,4053;7,1351;42,02465;-7,68796;-1,98672;-1,04331
67,7881;1;0,09062;-0,04754;0,07404;0,00463;-0,02421;0,00285;1,59692;-0,01691;-2,50871;-0,00058;-0,61408;0,00007;21,4053;7,1351;42,02465;-7,68796;-1,98672;-1,04331
67,7961;1;0,09062;-0,04754;0,07404;0,00463;-0,02421;0,00285;1,59877;-0,01794;-2,50708;-0,00058;-0,61453;0,00007;18,95898;10,90651;40,98807;-8,33582;-2,33079;-1,04331
67,8041;1;0,09686;-0,05229;0,07974;0,00534;-0,02278;0,0057;1,59877;-0,01794;-2,50708;-0,00058;-0,61453;0,00007;18,95898;10,90651;40,98807;-8,33582;-2,33079;-1,04331
67,8111;1;0,09686;-0,05229;0,07974;0,00534;-0,02278;0,0057;1,59877;-0,01794;-2,50708;-0,00058;-0,61453;0,00007;20,386;13,76055;40,16744;-9,71793;-2,33079;-1,62045
67,8191;1;0,09984;-0,05556;0,08436;0,00534;-0,02599;0,0032;1,6007;-0,01905;-2,50535;-0,00057;-0,61498;0,00007;20,386;13,76055;40,16744;-9,71793;-2,33079;-1,62045
67,8281;1;0,09984;-0,05556;0,08436;0,00534;-0,02599;0,0032;1,6007;-0,01905;-2,50535;-0,00057;-0,61498;0,00007;20,386;13,76055;40,16744;-9,71793;-2,33079;-1,62045
67,8513;1;0,09984;-0,05556;0,08436;0,00534;-0,02599;0,0032;1,60269;-0,02021;-2,50362;-0,00058;-0,61544;0,00007;18,04161;18,04161;40,68573;-7,68796;-2,56387;-1,62045
67,8593;1;0,10934;-0,0618;0,09113;0,00463;-0,02848;0,00534;1,60479;-0,02143;-2,50179;-0,00058;-0,61591;0,00007;18,04161;18,04161;40,68573;-7,68796;-2,56387;-1,62045
67,8663;1;0,10934;-0,0618;0,09113;0,00463;-0,02848;0,00534;1,60479;-0,02143;-2,50179;-0,00058;-0,61591;0,00007;18,04161;18,04161;40,68573;-7,68796;-2,56387;-1,62045
67,8743;1;0,10934;-0,0618;0,09113;0,00463;-0,02848;0,00534;1,60694;-0,02267;-2,49985;-0,00058;-0,61645;0,00007;14,77985;9,47949;39,99468;-7,68796;-2,56387;-1,45397
67,8823;1;0,1141;-0,06032;0,09433;0,00392;-0,02848;0,00534;1,60694;-0,02267;-2,49985;-0,00058;-0,61645;0,00007;14,77985;9,47949;39,99468;-7,68796;-2,56387;-1,45397
67,8893;1;0,1141;-0,06032;0,09433;0,00392;-0,02848;0,00534;1,60694;-0,02267;-2,49985;-0,00058;-0,61645;0,00007;14,77985;9,47949;39,99468;-7,68796;-2,56387;-1,45397
67,8983;1;0,11558;-0,06656;0,09718;0,00463;-0,03239;0,00534;1,60915;-0,02398;-2,49787;-0,00058;-0,617;0,00007;22,32267;18,95898;41,85189;-8,03349;-2,09771;-1,38738
67,9068;1;0,11558;-0,06656;0,09718;0,00463;-0,03239;0,00534;1,60915;-0,02398;-2,49787;-0,00058;-0,617;0,00007;22,32267;18,95898;41,85189;-8,03349;-2,09771;-1,38738
67,9214;1;0,11558;-0,06656;0,09718;0,00463;-0,03239;0,00534;1,61146;-0,02534;-2,49582;-0,00058;-0,61756;0,00007;23,24004;14,77985;42,02465;-8,03349;-2,56387;-0,68814
67,9294;1;0,11915;-0,06656;0,10145;0,00142;-0,0299;0,00178;1,61146;-0,02534;-2,49582;-0,00058;-0,61756;0,00007;23,24004;14,77985;42,02465;-8,03349;-2,56387;-0,68814
67,9437;1;0,1239;-0,07131;0,1075;0,00178;-0,02848;0,00142;1,61386;-0,02674;-2,49371;-0,00059;-0,61812;0,00007;20,386;19,97828;40,16744;-8,50859;-3,08552;-0,16648
67,9507;1;0,1239;-0,07131;0,1075;0,00178;-0,02848;0,00142;1,61386;-0,02674;-2,49371;-0,00059;-0,61812;0,00007;20,386;19,97828;40,16744;-8,50859;-3,08552;-0,16648
67,9726;1;0,12836;-0,07042;0,10821;0,00285;-0,03275;0,00463;1,61638;-0,02822;-2,49154;-0,00058;-0,61869;0,00007;20,89565;14,2702;41,67912;-8,03349;-2,91904;-1,38738
67,9806;1;0,13311;-0,07131;0,11106;0,0057;-0,03738;0,00178;1,61896;-0,02971;-2,4893;-0,00059;-0,61931;0,00007;20,89565;14,2702;41,67912;-8,03349;-2,91904;-1,38738
67,9876;1;0,13311;-0,07131;0,11106;0,0057;-0,03738;0,00178;1,61896;-0,02971;-2,4893;-0,00059;-0,61931;0,00007;20,89565;14,2702;41,67912;-8,03349;-2,91904;-1,38738
68,0033;1;0,13311;-0,07131;0,11106;0,0057;-0,03738;0,00178;1,62158;-0,03123;-2,48696;-0,00058;-0,61997;0,00007;19,97828;16,10494;40,68573;-6,82415;-2,33079;-1,27639
68,0103;1;0,13638;-0,07191;0,11391;0,00356;-0,03453;0,0057;1,62158;-0,03123;-2,48696;-0,00058;-0,61997;0,00007;19,97828;16,10494;40,68573;-6,82415;-2,33079;-1,27639
68,018;1;0,13995;-0,07607;0,11854;0,00142;-0,03631;0,0057;1,62429;-0,03276;-2,48462;-0,00058;-0,62066;0,00007;19,97828;14,77985;41,3336;-5,26928;-1,92013;-1,33188
68,0253;1;0,13995;-0,07607;0,11854;0,00142;-0,03631;0,0057;1,62429;-0,03276;-2,48462;-0,00058;-0,62066;0,00007;19,97828;14,77985;41,3336;-5,26928;-1,92013;-1,33188
68,0323;1;0,13995;-0,07607;0,11854;0,00142;-0,03631;0,0057;1,62429;-0,03276;-2,48462;-0,00058;-0,62066;0,00007;18,95898;11,92581;41,85189;-6,13309;-2,56387;-0,98781
68,0393;1;0,14233;-0,07636;0,1196;0;-0,03524;0,00178;1,62705;-0,03437;-2,48216;-0,00058;-0,62134;0,00006;18,95898;11,92581;41,85189;-6,13309;-2,56387;-0,98781
68,0473;1;0,14233;-0,07636;0,1196;0;-0,03524;0,00178;1,62705;-0,03437;-2,48216;-0,00058;-0,62134;0,00006;18,95898;11,92581;41,85189;-6,13309;-2,56387;-0,98781
68,0553;1;0,14233;-0,07636;0,1196;0;-0,03524;0,00178;1,6299;-0,036;-2,47962;-0,00059;-0,62202;0,00006;18,95898;18,95898;41,67912;-5,26928;-3,08552;-0,86572
68,0634;1;0,14738;-0,08082;0,12459;0,00071;-0,03631;0;1,6299;-0,036;-2,47962;-0,00059;-0,62202;0,00006;18,95898;18,95898;41,67912;-5,26928;-3,08552;-0,86572
68,0703;1;0,14738;-0,08082;0,12459;0,00071;-0,03631;0;1,6299;-0,036;-2,47962;-0,00059;-0,62202;0,00006;18,95898;18,95898;41,67912;-5,26928;-3,08552;-0,86572
68,0959;1;0,14738;-0,08082;0,1253;0,00107;-0,03987;0;1,63574;-0,03932;-2,47444;-0,00058;-0,6234;0,00006;18,04161;16,61459;42,02465;-6,13309;-2,33079;-1,1543
